Shenyang	沈阳
Tieling	铁岭
Wafangdian	瓦房店
Xingcheng	兴城
Xinmin	新民
Yingkou	营口
Zhuanghe	庄河
Guyuan	固原
Lingwu	灵武
Qingtongxia	青铜峡
Shizuishan	石嘴山
Wuzhong	吴忠
Yinchuan	银川
Zhongwei	中卫
Delhi	德令哈
Golmud	格尔木
Haidong	海东
Xining	西宁
Yushu	玉树
Ankang	安康
Baoji	宝鸡
Hancheng	韩城
Hanzhong	汉中
Huayin	华阴
Shangluo	商洛
Tongchuan	铜川
Xi'an	西安
Xianyang	咸阳
Xingping	兴平
Weinan	渭南
Yan'an	延安
Yulin	榆林
Anqiu	安丘
Binzhou	滨州
Changyi	昌邑
Dezhou	德州
Dongying	东营
Feicheng	肥城
Gaomi	高密
Haiyang	海阳
Heze	菏泽
Jiaozhou	胶州
Jinan	济南
Jining	济宁
Jimo	即墨
Laiwu	莱芜
Laixi	莱西
Laiyang	莱阳
Laizhou	莱州
Leling	乐陵
Liaocheng	聊城
Linqing	临清
Linyi	临沂
Longkou	龙口
Penglai	蓬莱
Pingdu	平度
Qingdao	青岛
Qingzhou	青州
Qixia	栖霞
Qufu	曲阜
Rongcheng	荣成
Rizhao	日照
Rushan	乳山
Shouguang	寿光
Tai'an	泰安
Tengzhou	滕州
Weifang	潍坊
Weihai	威海
Xintai	新泰
Yantai	烟台
Yucheng	禹城
Zaozhuang	枣庄
Zhaoyuan	招远
Zhucheng	诸城
Zoucheng	邹城
Zhangqiu	章丘
Zibo	淄博
Changzhi	长治
Datong	大同
Fenyang	汾阳
Gaoping	高平
Gujiao	古交
Hejin	河津
Houma	侯马
Huozhou	霍州
Jiexiu	介休
Jincheng	晋城
Jinzhong	晋中
Linfen	临汾
Lucheng	潞城
Lüliang	吕梁
Shuozhou	朔州
Taiyuan	太原
Xiaoyi	孝义
Xinzhou	忻州
Yangquan	阳泉
Yongji	永济
Yuncheng	运城
Yuanping	原平
Bazhong	巴中
Chengdu	成都
Chongzhou	崇州
Dazhou	达州
Deyang	德阳
Dujiangyan	都江堰
Emeishan	峨眉山
Guang'an	广安
Guanghan	广汉
Guangyuan	广元
Huaying	华蓥
Jiangyou	江油
Jianyang	简阳
Kangding	康定
Langzhong	阆中
Leshan	乐山
Luzhou	泸州
Mianzhu	绵竹
Meishan	眉山
Mianyang	绵阳
Neijiang	内江
Nanchong	南充
Panzhihua	攀枝花
Pengzhou	彭州
Qionglai	邛崃
Shifang	什邡
Suining	遂宁
Wanyuan	万源
Xichang	西昌
Ya'an	雅安
Yibin	宜宾
Zigong	自贡
Ziyang	资阳
Lhasa	拉萨
Xigazê	日喀则
Qamdo	昌都
Nyingchi	林芝
Aksu	阿克苏
Alashankou	阿拉山口
Altay	阿勒泰
Aral	阿拉尔
Artux	阿图什
Beitun	北屯
Bole	博乐
Changji	昌吉
Fukang	阜康
Yining	伊宁
Hotan	和田
Karamay	克拉玛依
Kashgar	喀什
Korgas	霍尔果斯
Kokdala	可克达拉
Korla	库尔勒
Kumul	哈密
Kuytun	奎屯
Shihezi	石河子
Shuanghe	双河
Tumxuk	图木舒克
Tacheng	塔城
Tiemenguan	铁门关
Turpan	吐鲁番
ürümqi	乌鲁木齐
Wujiaqu	五家渠
Wusu	乌苏
Anning	安宁
Baoshan	保山
Chuxiong	楚雄
Dali	大理
Gejiu	个旧
Jinghong	景洪
Kaiyuan	开远
Kunming	昆明
Lincang	临沧
Lijiang	丽江
Mang	芒
